name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,530,38.77,15.47,38.44,20.62,38.48,92
10%+WM,172,35.74,13.34,33.99,16.8,35.05,90
80%+GM,530,38.77,15.47,38.44,20.62,38.48,92
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,0,,,,,,
Left_Cerebral_White_Matter_80%+,0,,,,,,
Right Caudate,0,,,,,,
Right Cerebellum,22,31.38,8.306,33,7.959,33.34,57
Right Frontal Lobe,71,38.59,15.95,43.27,20.1,40.86,91
Right Insula,21,41.66,7.74,40.55,6.969,40.57,34
Right Occipital Lobe,37,35.55,11.72,34.25,9.605,33.83,93
Right Parietal Lobe,53,53.12,18.45,52.55,28.11,48.78,96
Right Putamen,0,,,,,,
Right Temporal Lobe,109,33.63,10.54,33.22,12.56,32.73,78
Right Thalamus,0,,,,,,
Left Caudate,1,,,,,,
Left Cerebellum,31,34.75,8.462,35.75,12.69,32.36,83
Left Frontal Lobe,73,41.6,15.42,44.52,21.39,41.92,91
Left Insula,25,45.95,8.469,43.52,11.09,46.29,61
Left Occipital Lobe,36,35.66,10.84,37.27,16.02,33.78,92
Left Parietal Lobe,59,51.81,15.75,52.7,20.45,49.34,93
Left Putamen,0,,,,,,
Left Temporal Lobe,124,33.04,14.33,32.35,17.74,32.82,91
Left Thalamus,0,,,,,,
RICA,112,39.75,13.33,38.81,15.44,39.87,90
LICA,158,38.45,15.39,38.07,22.64,39.47,92
VBA,119,31.99,9.208,31.87,12.49,30.45,85
Frontal Pole,3,,,,,,
Insular Cortex,21,40.96,5.841,40.55,5.088,40.21,8
Superior Frontal Gyrus,3,,,,,,
Middle Frontal Gyrus,3,,,,,,
"Inferior Frontal Gyrus, pars triangularis",1,,,,,,
"Inferior Frontal Gyrus, pars opercularis",1,,,,,,
Precentral Gyrus,7,,,,,,
Temporal Pole,22,30.65,13.47,31.84,21.95,32.32,86
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",1,,,,,,
"Middle Temporal Gyrus, anterior division",1,,,,,,
"Middle Temporal Gyrus, posterior division",4,,,,,,
"Middle Temporal Gyrus, temporooccipital part",2,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",4,,,,,,
Postcentral Gyrus,3,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",1,,,,,,
"Supramarginal Gyrus, posterior division",1,,,,,,
Angular Gyrus,3,,,,,,
"Lateral Occipital Cortex, superior division",14,40.86,16.16,35.22,30.15,38.5,97
"Lateral Occipital Cortex, inferior division",8,,,,,,
Intracalcarine Cortex,0,,,,,,
Frontal Medial Cortex,7,,,,,,
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),6,,,,,,
Subcallosal Cortex,8,,,,,,
Paracingulate Gyrus,7,,,,,,
"Cingulate Gyrus, anterior division",5,,,,,,
"Cingulate Gyrus, posterior division",20,68.27,10.22,65.8,14.07,66.89,81
Precuneous Cortex,17,54.86,9.145,51.25,12.98,53.94,83
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,16,32.94,13.21,37.83,22.03,31.27,75
"Parahippocampal Gyrus, anterior division",3,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,1,,,,,,
"Temporal Fusiform Cortex, anterior division",3,,,,,,
"Temporal Fusiform Cortex, posterior division",0,,,,,,
Temporal Occipital Fusiform Cortex,6,,,,,,
Occipital Fusiform Gyrus,3,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,0,,,,,,
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,1,,,,,,
Left Cerebral White Matter,5,,,,,,
Left Cerebral Cortex,220,40.08,15.99,40.33,23.17,39.01,93
Left Lateral Ventricle,0,,,,,,
Left Thalamus,0,,,,,,
Left Caudate,0,,,,,,
Left Putamen,0,,,,,,
Left Pallidum,0,,,,,,
Brain-Stem,0,,,,,,
Left Hippocampus,12,44.64,10.39,44.3,10.02,45.01,78
Left Amygdala,11,29.29,6.215,31.24,8.643,28.98,21
Left Accumbens,0,,,,,,
Right Cerebral White Matter,9,,,,,,
Right Cerebral Cortex,210,38.59,15.4,37.86,20.08,38.97,92
Right Lateral Ventricle,0,,,,,,
Right Thalamus,0,,,,,,
Right Caudate,0,,,,,,
Right Putamen,0,,,,,,
Right Pallidum,0,,,,,,
Right Hippocampus,0,,,,,,
Right Amygdala,10,36.55,2.823,37.81,2.924,36.22,0
Right Accumbens,0,,,,,,
