name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13048,47,23.61,46.55,26.8,43.58,89
10%+WM,8078,45.51,18.07,46.4,20.62,43.99,83
80%+GM,682,37.31,14,38.44,15.79,36.57,91
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,309,42.7,13.43,44.58,17.14,42.46,23
Left_Cerebral_White_Matter_80%+,318,48.27,18.12,49.87,21.91,48.34,67
Right Caudate,106,42.59,20.62,45.48,31.9,42.65,70
Right Cerebellum,466,40.49,12.04,40.26,12.61,39.34,66
Right Frontal Lobe,2450,44.55,26.23,44.71,32,38.78,91
Right Insula,172,39.42,14.37,38.04,15.36,37.85,58
Right Occipital Lobe,939,47.95,14.67,46.77,17.53,45.45,80
Right Parietal Lobe,1713,55.77,17.73,53.75,19.97,51.66,82
Right Putamen,111,36.4,9.61,37.4,10.85,35.58,0
Right Temporal Lobe,1475,31.09,17.24,31.26,25.23,32.73,83
Right Thalamus,129,63.4,19.81,59.7,31.21,62.27,62
Left Caudate,143,45.84,24.95,49.71,36.4,45.17,77
Left Cerebellum,598,39.66,10.95,40.6,11.43,39.47,65
Left Frontal Lobe,2498,52,29.85,53.12,38.87,45.45,93
Left Insula,232,51.02,15.72,50.53,18.54,52.34,59
Left Occipital Lobe,1122,48.78,17.81,47.06,20.09,45.67,87
Left Parietal Lobe,1552,58.15,18.99,56.17,21.18,53.83,86
Left Putamen,154,39.92,13,41.26,19.81,39.99,0
Left Temporal Lobe,1492,36.87,19.5,36.57,25.58,37.68,86
Left Thalamus,134,67.13,18.51,64.96,21.39,65.71,61
RICA,3129,43.84,22.56,44.36,28.47,41.79,89
LICA,3780,50.68,26.28,51.35,32.13,47.61,91
VBA,1738,43.49,15.19,42.42,16.08,42.21,82
Frontal Pole,603,29.39,23.12,26.58,37.18,17.41,89
Insular Cortex,46,35.34,10.16,36.36,14.06,34.76,34
Superior Frontal Gyrus,19,62.26,17.6,57.93,17.57,56.77,76
Middle Frontal Gyrus,64,72.53,20.95,70.54,28.9,65.77,84
"Inferior Frontal Gyrus, pars triangularis",7,,,,,,
"Inferior Frontal Gyrus, pars opercularis",21,56.35,17.05,61.78,23.71,58.96,68
Precentral Gyrus,85,57.39,17.11,55.38,19.49,54.23,81
Temporal Pole,150,19.82,13.08,17.91,17.62,19.32,57
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",16,49.2,10.61,51.03,14.09,49.54,84
"Middle Temporal Gyrus, anterior division",8,,,,,,
"Middle Temporal Gyrus, posterior division",38,44.44,14.54,42.93,16.96,45.32,82
"Middle Temporal Gyrus, temporooccipital part",36,39.99,13.77,38.83,17.16,39.39,92
"Inferior Temporal Gyrus, anterior division",2,,,,,,
"Inferior Temporal Gyrus, posterior division",2,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",21,44.44,10.8,41.39,11.25,41.84,68
Postcentral Gyrus,71,49.22,14.84,49.22,21.94,43.26,84
Superior Parietal Lobule,22,57.65,18.18,54.21,19.57,53.26,84
"Supramarginal Gyrus, anterior division",26,50.62,16.55,50.86,22.77,44.37,90
"Supramarginal Gyrus, posterior division",19,57.1,15.97,56.2,16.53,54.48,88
Angular Gyrus,40,43.19,18.99,43.31,24.34,41.05,92
"Lateral Occipital Cortex, superior division",286,55.16,21.89,52.85,22.63,51.31,92
"Lateral Occipital Cortex, inferior division",111,36.11,13.87,36.79,18.59,35.81,92
Intracalcarine Cortex,4,,,,,,
Frontal Medial Cortex,32,4.958,4.921,3.605,3.661,4.6,31
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),38,61.45,13.63,57.53,16.38,57.06,76
Subcallosal Cortex,35,24.79,21.49,16.2,35,23,88
Paracingulate Gyrus,84,57.49,23.17,53.32,29.2,54.35,88
"Cingulate Gyrus, anterior division",87,57.13,15.22,54.06,17.03,52.84,71
"Cingulate Gyrus, posterior division",77,71.41,11.73,68.39,14.48,69.89,59
Precuneous Cortex,149,55.18,10.45,53.94,12.43,53.92,64
Cuneal Cortex,13,54.06,6.323,54.6,6.677,52.76,4
Frontal Orbital Cortex,95,20.73,12.94,19.8,15.77,18.12,46
"Parahippocampal Gyrus, anterior division",14,16.14,11.18,14.73,18.12,14.88,49
"Parahippocampal Gyrus, posterior division",4,,,,,,
Lingual Gyrus,66,49.51,11.65,47.22,17.39,47.86,58
"Temporal Fusiform Cortex, anterior division",5,,,,,,
"Temporal Fusiform Cortex, posterior division",25,18.37,11.66,15.01,17.47,19.87,77
Temporal Occipital Fusiform Cortex,19,40.96,7.84,41.49,9.295,41.14,42
Occipital Fusiform Gyrus,6,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,23,65.27,13.14,66.29,16.61,66.24,70
Parietal Operculum Cortex,7,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,135,55.97,12.63,56.13,15.66,54.67,78
Left Cerebral White Matter,1197,49.64,17.6,50.89,21.45,49.24,75
Left Cerebral Cortex,3595,50.11,24.54,50.63,28.15,46.18,92
Left Lateral Ventricle,3,,,,,,
Left Thalamus,40,76.91,19.4,75.83,21.45,75.62,62
Left Caudate,22,57.89,31.02,68.46,59.52,57.2,88
Left Putamen,27,42.3,10.11,42.71,10.7,42.03,0
Left Pallidum,0,,,,,,
Brain-Stem,29,58.29,10.98,59.25,10.4,58.83,0
Left Hippocampus,19,34.78,9.116,37.23,14.5,33.66,57
Left Amygdala,13,29.34,7.378,26.17,13.8,29.37,30
Left Accumbens,2,,,,,,
Right Cerebral White Matter,1144,44.28,15.32,45.52,16.74,43.48,69
Right Cerebral Cortex,3685,44.87,21.61,45.4,25.57,41.87,90
Right Lateral Ventricle,14,66.58,27.86,70.18,46.85,56.98,85
Right Thalamus,43,73.76,18.99,78.72,23.34,71.78,62
Right Caudate,25,48.6,22.26,57.31,40.42,51.02,77
Right Putamen,36,39.63,7.449,40.5,9.945,39.93,0
Right Pallidum,6,,,,,,
Right Hippocampus,20,35.45,6.148,33.23,8.745,35.03,0
Right Amygdala,15,27.65,8.785,25.7,14.12,28.67,22
Right Accumbens,2,,,,,,
