name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,0,,,,,,
10%+WM,2358,24.5,10.8,22.47,12.78,0.002242,96
80%+GM,0,,,,,,
90%+WM,2358,24.5,10.8,22.47,12.78,0.002242,96
Right_Cerebral_White_Matter_80%+,713,21.45,10.22,19.54,9.96,21.03,68
Left_Cerebral_White_Matter_80%+,686,23.32,9.653,21.6,8.922,23.21,72
Right Caudate,25,17.98,4.395,17.72,5.947,18.04,0
Right Cerebellum,95,27.7,9.393,26.31,15.26,27.88,72
Right Frontal Lobe,281,28.58,12.24,25.49,14.4,27.38,77
Right Insula,51,19.47,7.941,19.12,10.3,19.1,50
Right Occipital Lobe,67,20.23,10.29,18.03,11.31,21.32,80
Right Parietal Lobe,260,21.29,8.595,20.49,10.3,21.24,65
Right Putamen,58,24.11,8.899,20.4,12.23,23.48,61
Right Temporal Lobe,112,20.17,8.902,19.37,9.729,8.283e-05,94
Right Thalamus,99,27.74,9.708,26.4,13.67,27.68,67
Left Caudate,112,18.86,7.281,18.67,10.54,18.56,43
Left Cerebellum,109,25.71,10.74,22.44,15.16,26.16,80
Left Frontal Lobe,307,27.45,11.4,24.33,12.16,27.23,80
Left Insula,71,24.26,7.735,22.72,8.529,24.74,66
Left Occipital Lobe,124,25.16,13.19,22.8,14.52,24.57,89
Left Parietal Lobe,281,22.99,9.28,21.3,10.91,23.18,74
Left Putamen,66,24.87,7.776,25.02,10.13,24.78,55
Left Temporal Lobe,97,25.56,11.69,22.28,10.57,26.31,85
Left Thalamus,117,29.37,11.42,28.16,14.75,29.83,77
RICA,90,27.25,10.64,26.57,13.86,9.726e-05,97
LICA,193,27.89,12.2,24.61,14.24,28.27,86
VBA,65,23.23,9.63,22.07,10.7,23.41,83
Frontal Pole,0,,,,,,
Insular Cortex,0,,,,,,
Superior Frontal Gyrus,0,,,,,,
Middle Frontal Gyrus,0,,,,,,
"Inferior Frontal Gyrus, pars triangularis",0,,,,,,
"Inferior Frontal Gyrus, pars opercularis",0,,,,,,
Precentral Gyrus,0,,,,,,
Temporal Pole,0,,,,,,
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, temporooccipital part",0,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",0,,,,,,
Postcentral Gyrus,0,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",0,,,,,,
"Supramarginal Gyrus, posterior division",0,,,,,,
Angular Gyrus,0,,,,,,
"Lateral Occipital Cortex, superior division",1,,,,,,
"Lateral Occipital Cortex, inferior division",0,,,,,,
Intracalcarine Cortex,0,,,,,,
Frontal Medial Cortex,0,,,,,,
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0,,,,,,
Subcallosal Cortex,0,,,,,,
Paracingulate Gyrus,0,,,,,,
"Cingulate Gyrus, anterior division",0,,,,,,
"Cingulate Gyrus, posterior division",0,,,,,,
Precuneous Cortex,1,,,,,,
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,0,,,,,,
"Parahippocampal Gyrus, anterior division",0,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,0,,,,,,
"Temporal Fusiform Cortex, anterior division",0,,,,,,
"Temporal Fusiform Cortex, posterior division",0,,,,,,
Temporal Occipital Fusiform Cortex,0,,,,,,
Occipital Fusiform Gyrus,0,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,0,,,,,,
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,1,,,,,,
Left Cerebral White Matter,925,23.94,10.24,22.07,10.48,23.86,76
Left Cerebral Cortex,31,34.08,14.64,30.71,16.37,32.97,93
Left Lateral Ventricle,0,,,,,,
Left Thalamus,33,39.28,10.81,40.93,13.76,39.3,76
Left Caudate,1,,,,,,
Left Putamen,3,,,,,,
Left Pallidum,16,25.87,6.006,25.92,5.693,26,12
Brain-Stem,163,27.77,12.04,29.43,16.49,29.02,76
Left Hippocampus,0,,,,,,
Left Amygdala,0,,,,,,
Left Accumbens,0,,,,,,
Right Cerebral White Matter,925,22.5,10.43,20.57,11.42,21.08,77
Right Cerebral Cortex,21,25.62,9.671,27.58,11.29,2.185e-05,97
Right Lateral Ventricle,0,,,,,,
Right Thalamus,21,38.48,5.552,38.17,5.137,39.08,7
Right Caudate,0,,,,,,
Right Putamen,3,,,,,,
Right Pallidum,13,24.57,4.56,23.07,6.141,24.99,0
Right Hippocampus,0,,,,,,
Right Amygdala,0,,,,,,
Right Accumbens,0,,,,,,
