name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,0,,,,,,
10%+WM,2358,20.39,10.03,18.31,11.53,18.47,83
80%+GM,0,,,,,,
90%+WM,2358,20.39,10.03,18.31,11.53,18.47,83
Right_Cerebral_White_Matter_80%+,713,17.2,8.429,15.41,8.535,16.57,69
Left_Cerebral_White_Matter_80%+,686,18.99,8.755,17.46,8.033,17.86,77
Right Caudate,25,15.65,3.864,15.07,5.033,15.57,0
Right Cerebellum,95,24.01,8.676,22.48,13.44,23.81,75
Right Frontal Lobe,281,23.43,10.29,21.1,11.28,22.19,78
Right Insula,51,16.6,6.85,16.43,9.832,16.2,52
Right Occipital Lobe,67,14.12,7.026,12.77,7.557,14.8,80
Right Parietal Lobe,260,16.21,6.792,15.23,8.226,15.84,67
Right Putamen,58,22.33,8.921,18.63,12.29,21.33,65
Right Temporal Lobe,112,15.48,6.961,15.07,8.002,9.889,88
Right Thalamus,99,27.44,10.68,26.52,15.92,26.25,74
Left Caudate,112,17.1,7.437,16.54,8.767,16.31,50
Left Cerebellum,109,22.02,9.289,19.33,14,22.32,81
Left Frontal Lobe,307,23.69,10.9,20.32,11.6,22.58,83
Left Insula,71,21.42,7.055,19.86,7.558,21.54,69
Left Occipital Lobe,124,16.99,9.547,15.02,10.47,15.93,90
Left Parietal Lobe,281,17.1,7.016,16.28,7.676,16.83,76
Left Putamen,66,23.21,7.871,22.74,10.81,22.54,62
Left Temporal Lobe,97,18.82,9.885,16.74,8.472,18.02,89
Left Thalamus,117,28.7,12.13,27.42,17.48,28.01,81
RICA,90,21.4,8.532,20.25,10.6,12.52,93
LICA,193,22.32,11.61,20.11,13.88,20.73,90
VBA,65,15.26,6.157,14.54,7.414,15.18,83
Frontal Pole,0,,,,,,
Insular Cortex,0,,,,,,
Superior Frontal Gyrus,0,,,,,,
Middle Frontal Gyrus,0,,,,,,
"Inferior Frontal Gyrus, pars triangularis",0,,,,,,
"Inferior Frontal Gyrus, pars opercularis",0,,,,,,
Precentral Gyrus,0,,,,,,
Temporal Pole,0,,,,,,
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, temporooccipital part",0,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",0,,,,,,
Postcentral Gyrus,0,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",0,,,,,,
"Supramarginal Gyrus, posterior division",0,,,,,,
Angular Gyrus,0,,,,,,
"Lateral Occipital Cortex, superior division",1,,,,,,
"Lateral Occipital Cortex, inferior division",0,,,,,,
Intracalcarine Cortex,0,,,,,,
Frontal Medial Cortex,0,,,,,,
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0,,,,,,
Subcallosal Cortex,0,,,,,,
Paracingulate Gyrus,0,,,,,,
"Cingulate Gyrus, anterior division",0,,,,,,
"Cingulate Gyrus, posterior division",0,,,,,,
Precuneous Cortex,1,,,,,,
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,0,,,,,,
"Parahippocampal Gyrus, anterior division",0,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,0,,,,,,
"Temporal Fusiform Cortex, anterior division",0,,,,,,
"Temporal Fusiform Cortex, posterior division",0,,,,,,
Temporal Occipital Fusiform Cortex,0,,,,,,
Occipital Fusiform Gyrus,0,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,0,,,,,,
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,1,,,,,,
Left Cerebral White Matter,925,19.43,9.249,17.71,9.196,18.05,81
Left Cerebral Cortex,31,26.61,13.83,22.42,12.68,23.12,95
Left Lateral Ventricle,0,,,,,,
Left Thalamus,33,39.77,11.06,40.81,15.37,39.51,77
Left Caudate,1,,,,,,
Left Putamen,3,,,,,,
Left Pallidum,16,25.46,6.291,25.7,6.36,25.38,23
Brain-Stem,163,23.94,11.56,24.69,15.18,24.27,81
Left Hippocampus,0,,,,,,
Left Amygdala,0,,,,,,
Left Accumbens,0,,,,,,
Right Cerebral White Matter,925,18.12,8.775,16.32,9.38,16.21,80
Right Cerebral Cortex,21,19.86,5.707,21.37,5.086,19.1,67
Right Lateral Ventricle,0,,,,,,
Right Thalamus,21,39.79,5.806,39.92,7.771,40.12,8
Right Caudate,0,,,,,,
Right Putamen,3,,,,,,
Right Pallidum,13,23.58,4.473,21.95,6.452,23.97,0
Right Hippocampus,0,,,,,,
Right Amygdala,0,,,,,,
Right Accumbens,0,,,,,,
