name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13395,81.92,40.8,82.44,46.35,1.176e-05,99
10%+WM,10767,81.25,29.1,84.29,35.77,2.134e-05,98
80%+GM,705,64.73,24.27,61.34,31.91,7.637e-05,99
90%+WM,2273,90.34,17.26,93,20.36,9.064e-05,91
Right_Cerebral_White_Matter_80%+,977,88.64,22.66,92.59,25.18,88.14,15
Left_Cerebral_White_Matter_80%+,998,86.63,21.47,91.12,23.73,7.34e-05,93
Right Caudate,128,70.45,30.97,80.58,41.6,70.38,76
Right Cerebellum,692,61.06,23.77,57.3,23.76,2.507e-05,98
Right Frontal Lobe,3133,90.19,42.73,92.03,42.3,7.561e-06,98
Right Insula,242,81.34,20.81,81.2,32.18,74.23,51
Right Occipital Lobe,1159,83.24,42.91,79.49,36.87,1.711e-05,99
Right Parietal Lobe,2277,102.1,28.53,99.63,29.91,0.0002014,99
Right Putamen,214,82.62,26.55,90.02,37.9,76.36,62
Right Temporal Lobe,1683,66.41,40.12,70.57,47.15,3.012e-06,98
Right Thalamus,270,105.2,25.09,100.8,26.87,104.2,70
Left Caudate,268,67.98,28.65,70.22,45.21,66.72,72
Left Cerebellum,660,58.3,17.12,57.9,17.32,3.216e-05,98
Left Frontal Lobe,3276,85.29,43.26,88.85,45.96,6.041e-06,98
Left Insula,329,83.28,21.27,85.2,29.69,75.84,67
Left Occipital Lobe,1406,72.51,38.42,72.02,36.87,1.243e-05,99
Left Parietal Lobe,2151,91.52,30.53,92.82,33.13,6.553e-05,99
Left Putamen,235,83.81,23.09,88.41,33.26,77.5,46
Left Temporal Lobe,1710,61.21,39.89,62.98,51.18,2.487e-06,97
Left Thalamus,268,90.68,26.12,91.54,28.13,90.03,74
RICA,3357,90.55,40.84,91.4,40.9,1.27e-05,99
LICA,4273,82.11,42.25,86.21,46.59,6.86e-06,99
VBA,1914,72.15,35.46,70.09,35.31,1.582e-05,99
Frontal Pole,636,85.85,46.54,90.33,58.15,5.824e-06,98
Insular Cortex,52,59.45,12.48,58.24,16.29,58.23,51
Superior Frontal Gyrus,25,108,40.92,92.66,46.83,92.91,95
Middle Frontal Gyrus,65,118.4,30.34,114.2,33.55,119,91
"Inferior Frontal Gyrus, pars triangularis",8,,,,,,
"Inferior Frontal Gyrus, pars opercularis",20,76.46,25.85,81.62,35.81,78.88,75
